Player,Pos,Nation,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Sh,SoT,Avg_Sh_Dist,FK,Pas_TotDist,Pas_PrgDist,Cmp_S,Att_S,Cmp_M,Att_M,Cmp_L,Att_L,KP,Pas_A3,PPA,CrsPA,2CrdY,Fls,Fld,Off,Crs,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,Touches,Tch_DP,Tch_D3,Tch_M3,Tch_A3,Tch_AP,Live,Dr_Succ,Dr_Att,Num_Dr_Past,Megs,Carries,Cr_TotDist,Cr_PrgDist,Cr_Prog,Cr_A3,CPA,Mis,Dis,Targ,Rec,Prog_Pas_Rec,TklW,Tkl_D3,Tkl_M3,Tkl_A3,Tkl_VD,Past,Press,Press_Succ,Pr_D3,Pr_M3,Pr_A3,Blocks,Blk_Sh,ShSv,Blk_Pass,Int,Clr,Err
Charles Aránguiz,MF,Chile,31.0,1989.0,5.0,5.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,5670,1448,119,125,139,151,38,55,5,38,6,1,0.0,8.0,11.0,0.0,5.0,0.0,0.0,0.0,48.0,4.0,4.0,383.0,5.0,82.0,217.0,107.0,6.0,362.0,7.0,11.0,8.0,3.0,279.0,1246.0,615.0,36.0,10.0,1.0,4.0,6.0,315.0,287.0,16.0,4.0,4.0,2.0,1.0,4.0,13.0,128.0,28.0,57.0,46.0,25.0,5.0,0.0,0.0,5.0,4.0,1.0,0.0
Pablo Aránguiz,MF,Chile,23.0,1997.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,0,1,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,48.0,27.0,1.0,0.0,1.0,2.0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Araujo,DF,Peru,26.0,1994.0,2.0,1.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1350,350,20,21,35,36,8,10,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,3.0,3.0,79.0,13.0,44.0,37.0,3.0,1.0,75.0,0.0,0.0,0.0,0.0,55.0,305.0,192.0,7.0,1.0,0.0,0.0,0.0,58.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,6.0,4.0,0.0,3.0,2.0,0.0,1.0,0.0,9.0,0.0
Robert Arboleda,DF,Ecuador,29.0,1991.0,5.0,5.0,450.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,6.3,0.0,4599,1463,66,68,102,107,42,53,1,17,2,0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,4.0,276.0,33.0,143.0,133.0,13.0,4.0,270.0,1.0,1.0,1.0,0.0,190.0,957.0,448.0,14.0,4.0,0.0,0.0,1.0,199.0,196.0,0.0,2.0,2.0,0.0,0.0,2.0,4.0,27.0,9.0,13.0,10.0,4.0,7.0,4.0,1.0,3.0,0.0,29.0,0.0
Alexis Arias,MF,Peru,25.0,1995.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88,0,3,3,1,2,1,1,0,0,0,0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,0.0,0.0,7.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Fernando Aristeguieta,FW,Venezuela,28.0,1992.0,3.0,3.0,214.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,63.1,0.0,408,81,26,32,8,11,0,0,1,0,0,0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,9.0,7.0,15.0,75.0,3.0,8.0,43.0,25.0,5.0,69.0,4.0,6.0,4.0,1.0,45.0,102.0,37.0,0.0,0.0,0.0,11.0,2.0,106.0,44.0,8.0,4.0,2.0,1.0,1.0,2.0,3.0,62.0,11.0,11.0,34.0,17.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0
Luciano Arriagada,FW,Chile,18.0,2002.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.6,0.0,37,0,2,2,1,1,0,0,1,0,0,0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,4.0,4.0,1.0,8.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,21.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,1.0,4.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Santiago Arzamendia,DF,Paraguay,22.0,1998.0,4.0,4.0,328.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,21.1,1.0,2594,794,81,93,64,71,11,19,5,9,4,1,0.0,5.0,0.0,1.0,12.0,0.0,1.0,0.0,25.0,7.0,4.0,221.0,8.0,41.0,82.0,114.0,11.0,199.0,3.0,5.0,3.0,2.0,143.0,728.0,491.0,18.0,8.0,5.0,3.0,1.0,171.0,151.0,11.0,2.0,2.0,1.0,1.0,3.0,7.0,73.0,15.0,33.0,27.0,13.0,6.0,1.0,0.0,5.0,4.0,5.0,0.0
Gabriel Ávalos,FW,Paraguay,30.0,1990.0,4.0,3.0,266.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,2.0,9.7,0.0,453,24,13,22,11,18,2,4,3,0,0,0,0.0,6.0,6.0,1.0,0.0,0.0,0.0,0.0,8.0,13.0,9.0,68.0,0.0,2.0,27.0,42.0,20.0,61.0,1.0,1.0,1.0,0.0,33.0,162.0,57.0,2.0,2.0,1.0,2.0,2.0,91.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,7.0,1.0,15.0,20.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
Gabriel Barbosa,FW,Brazil,24.0,1996.0,5.0,2.0,190.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,8.5,0.0,476,43,11,15,15,16,2,3,1,3,0,0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,48.0,1.0,3.0,20.0,28.0,5.0,46.0,1.0,2.0,1.0,0.0,31.0,156.0,62.0,3.0,1.0,0.0,2.0,1.0,61.0,39.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,41.0,8.0,5.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Antonio Bareiro,FW,Paraguay,31.0,1989.0,1.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,16,2,3,1,1,0,0,0,1,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,9.0,0.0,3.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,0.0,4.0,14.0,6.0,1.0,0.0,0.0,3.0,0.0,13.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
Wílmar Barrios,MF,Colombia,27.0,1993.0,7.0,7.0,659.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,26.0,0.0,5317,1793,122,132,120,143,37,47,1,42,2,0,0.0,15.0,14.0,0.0,2.0,0.0,0.0,0.0,64.0,4.0,6.0,404.0,16.0,131.0,247.0,39.0,3.0,393.0,7.0,8.0,7.0,1.0,260.0,1206.0,424.0,16.0,5.0,1.0,2.0,4.0,259.0,251.0,11.0,22.0,19.0,9.0,1.0,12.0,10.0,152.0,63.0,76.0,60.0,16.0,14.0,2.0,1.0,12.0,17.0,15.0,0.0
Danny Bejarano,MF,Bolivia,27.0,1994.0,3.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861,153,18,21,19,19,7,9,0,0,0,0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,9.0,2.0,2.0,65.0,5.0,29.0,30.0,9.0,1.0,63.0,0.0,0.0,0.0,0.0,43.0,163.0,63.0,1.0,1.0,0.0,1.0,0.0,45.0,40.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,18.0,6.0,10.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,5.0,0.0
Diego Bejarano,DF,Bolivia,29.0,1991.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,15.7,0.0,1563,634,60,62,34,42,4,9,0,3,1,0,0.0,7.0,1.0,0.0,5.0,0.0,1.0,0.0,15.0,4.0,5.0,146.0,14.0,42.0,66.0,51.0,8.0,123.0,1.0,1.0,1.0,0.0,80.0,308.0,175.0,10.0,6.0,0.0,1.0,3.0,91.0,79.0,3.0,2.0,4.0,0.0,0.0,1.0,3.0,54.0,9.0,24.0,13.0,17.0,5.0,0.0,0.0,5.0,5.0,8.0,0.0
Rodrigo Bentancur,MF,Uruguay,23.0,1997.0,4.0,3.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,20.0,0.0,2147,568,65,71,52,60,12,16,4,17,2,0,0.0,7.0,3.0,0.0,2.0,0.0,0.0,0.0,18.0,4.0,6.0,187.0,4.0,36.0,110.0,53.0,3.0,184.0,6.0,8.0,6.0,0.0,136.0,817.0,387.0,23.0,6.0,1.0,2.0,3.0,142.0,133.0,6.0,6.0,5.0,4.0,2.0,3.0,6.0,76.0,18.0,27.0,35.0,14.0,10.0,1.0,0.0,9.0,4.0,3.0,0.0
Miguel Borja,FW,Colombia,28.0,1993.0,7.0,2.0,296.0,1.0,1.0,1.0,1.0,2.0,0.0,11.0,3.0,14.4,0.0,826,186,19,25,17,25,7,10,2,4,5,0,0.0,7.0,7.0,1.0,0.0,1.0,0.0,0.0,17.0,9.0,13.0,107.0,5.0,11.0,44.0,59.0,21.0,103.0,3.0,5.0,4.0,1.0,69.0,256.0,126.0,9.0,4.0,4.0,8.0,10.0,115.0,78.0,25.0,1.0,0.0,0.0,1.0,0.0,4.0,49.0,12.0,5.0,25.0,19.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0
Rafael Borré,FW,Colombia,25.0,1995.0,5.0,4.0,292.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,8.9,0.0,1190,345,35,45,26,33,8,9,1,4,1,1,0.0,11.0,3.0,1.0,4.0,0.0,0.0,0.0,22.0,1.0,15.0,119.0,3.0,26.0,64.0,34.0,2.0,118.0,1.0,2.0,1.0,0.0,79.0,412.0,202.0,9.0,1.0,0.0,4.0,3.0,117.0,75.0,13.0,3.0,4.0,3.0,0.0,2.0,6.0,136.0,37.0,30.0,73.0,33.0,4.0,0.0,0.0,4.0,2.0,4.0,0.0
Ben Brereton,FW,Chile,21.0,1999.0,5.0,3.0,300.0,1.0,1.0,0.0,0.0,1.0,0.0,7.0,5.0,13.9,0.0,894,227,33,42,19,23,4,4,2,4,2,1,0.0,3.0,9.0,2.0,3.0,0.0,0.0,0.0,17.0,5.0,10.0,118.0,4.0,17.0,52.0,63.0,16.0,118.0,5.0,9.0,5.0,1.0,86.0,532.0,249.0,12.0,5.0,3.0,7.0,7.0,143.0,88.0,21.0,1.0,1.0,1.0,0.0,0.0,3.0,51.0,15.0,13.0,23.0,15.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0
Martín Cáceres,DF,Uruguay,33.0,1987.0,3.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.4,0.0,1168,332,30,30,34,36,3,11,0,3,0,0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,83.0,2.0,25.0,47.0,23.0,1.0,72.0,0.0,0.0,0.0,0.0,62.0,341.0,240.0,8.0,2.0,0.0,1.0,1.0,65.0,62.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,8.0,3.0,3.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Jordy Caicedo,FW,Ecuador,23.0,1997.0,2.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,1,2,3,1,1,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,6.0,0.0,0.0,1.0,5.0,1.0,6.0,2.0,2.0,2.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,2.0,0.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moisés Caicedo,MF,Ecuador,19.0,2001.0,5.0,4.0,296.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,16.7,0.0,3275,728,75,82,69,73,24,27,1,22,4,0,0.0,7.0,5.0,0.0,1.0,0.0,0.0,0.0,31.0,5.0,6.0,231.0,4.0,38.0,152.0,51.0,6.0,227.0,7.0,9.0,7.0,0.0,178.0,549.0,239.0,12.0,4.0,0.0,5.0,7.0,186.0,170.0,12.0,4.0,4.0,6.0,1.0,4.0,4.0,69.0,20.0,15.0,41.0,13.0,1.0,0.0,0.0,1.0,5.0,6.0,0.0
Alexander Callens,DF,Peru,28.0,1992.0,5.0,5.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.5,0.0,2657,1164,50,52,70,75,15,25,0,6,0,0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,9.0,203.0,47.0,135.0,72.0,5.0,2.0,199.0,1.0,1.0,1.0,0.0,115.0,585.0,285.0,10.0,1.0,0.0,0.0,0.0,128.0,125.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,40.0,10.0,21.0,18.0,1.0,7.0,5.0,0.0,2.0,7.0,29.0,0.0
Leonardo Campana,FW,Ecuador,20.0,2000.0,4.0,2.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,12.0,0.0,262,21,18,24,5,5,0,0,3,0,0,0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,6.0,56.0,1.0,2.0,23.0,33.0,14.0,49.0,0.0,1.0,1.0,0.0,26.0,58.0,16.0,1.0,2.0,0.0,4.0,5.0,79.0,37.0,9.0,1.0,0.0,0.0,2.0,1.0,3.0,50.0,15.0,5.0,23.0,22.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0
Jaminton Campaz,FW,Colombia,20.0,2000.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316,103,4,4,5,8,3,5,0,4,1,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,22.0,0.0,0.0,15.0,8.0,1.0,22.0,0.0,0.0,0.0,0.0,17.0,74.0,26.0,1.0,0.0,0.0,1.0,0.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,5.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
Edwin Cardona,MF,Colombia,28.0,1992.0,5.0,4.0,331.0,1.0,1.0,0.0,0.0,2.0,0.0,6.0,2.0,23.4,0.0,3051,1227,56,68,31,37,38,58,8,31,8,1,0.0,7.0,4.0,0.0,6.0,0.0,0.0,0.0,18.0,0.0,6.0,208.0,1.0,18.0,129.0,69.0,6.0,188.0,6.0,11.0,8.0,1.0,152.0,649.0,274.0,16.0,4.0,0.0,5.0,3.0,178.0,151.0,13.0,5.0,2.0,4.0,1.0,0.0,7.0,73.0,17.0,15.0,34.0,24.0,2.0,0.0,0.0,2.0,6.0,3.0,0.0
Ángel Cardozo,MF,Paraguay,26.0,1994.0,3.0,2.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,41.5,0.0,1747,500,35,37,42,46,11,16,0,14,0,0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,123.0,2.0,25.0,90.0,14.0,2.0,121.0,0.0,1.0,0.0,0.0,83.0,288.0,112.0,4.0,1.0,0.0,1.0,2.0,97.0,89.0,2.0,5.0,4.0,3.0,1.0,3.0,4.0,51.0,19.0,15.0,30.0,6.0,2.0,0.0,0.0,2.0,4.0,0.0,0.0
Juan Carlos Arce,MF,Bolivia,35.0,1985.0,2.0,2.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.0,0.0,1090,399,40,44,12,18,8,18,1,12,2,0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,8.0,1.0,1.0,101.0,3.0,19.0,52.0,38.0,3.0,96.0,3.0,5.0,3.0,0.0,81.0,438.0,280.0,17.0,3.0,1.0,3.0,3.0,88.0,80.0,8.0,1.0,2.0,0.0,0.0,0.0,3.0,32.0,4.0,10.0,12.0,10.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0
Jan Carlos Hurtado,FW,Venezuela,20.0,2000.0,2.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23,10,0,0,1,1,0,0,0,0,0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,1.0,1.0,0.0,4.0,2.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,3.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
André Carrillo,FW,Peru,29.0,1991.0,6.0,6.0,516.0,2.0,1.0,0.0,0.0,4.0,1.0,6.0,2.0,17.0,0.0,3450,794,80,92,91,100,16,23,4,16,5,1,1.0,12.0,5.0,3.0,9.0,0.0,0.0,0.0,34.0,2.0,17.0,331.0,11.0,50.0,164.0,152.0,15.0,329.0,16.0,37.0,17.0,2.0,278.0,1545.0,749.0,33.0,17.0,5.0,22.0,11.0,342.0,256.0,42.0,7.0,5.0,3.0,0.0,1.0,3.0,130.0,45.0,38.0,54.0,38.0,7.0,0.0,0.0,7.0,10.0,8.0,0.0
Wilder Cartagena,MF,Peru,26.0,1994.0,4.0,0.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347,398,36,38,27,30,8,10,0,3,0,0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,1.0,97.0,3.0,37.0,54.0,12.0,1.0,96.0,1.0,1.0,1.0,0.0,74.0,236.0,94.0,0.0,0.0,0.0,2.0,0.0,71.0,70.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,32.0,13.0,19.0,11.0,2.0,1.0,0.0,0.0,1.0,4.0,2.0,0.0
Casemiro,MF,Brazil,28.0,1992.0,6.0,5.0,478.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,23.2,1.0,5296,1555,135,146,127,145,32,49,3,34,6,0,0.0,11.0,3.0,0.0,2.0,0.0,0.0,0.0,68.0,20.0,13.0,426.0,11.0,121.0,241.0,82.0,4.0,418.0,1.0,3.0,1.0,1.0,227.0,909.0,540.0,21.0,7.0,0.0,1.0,3.0,287.0,274.0,9.0,16.0,11.0,9.0,0.0,2.0,13.0,102.0,39.0,44.0,43.0,15.0,8.0,1.0,0.0,7.0,13.0,19.0,0.0
Cristian Cásseres Jr.,FW,Venezuela,21.0,2000.0,4.0,4.0,310.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,0.0,935,267,28,33,18,25,6,23,5,4,1,1,0.0,9.0,8.0,1.0,2.0,0.0,0.0,0.0,14.0,0.0,2.0,123.0,3.0,27.0,65.0,41.0,2.0,108.0,8.0,12.0,9.0,0.0,94.0,369.0,146.0,7.0,2.0,0.0,6.0,3.0,118.0,82.0,14.0,2.0,1.0,1.0,3.0,1.0,4.0,96.0,15.0,46.0,36.0,14.0,5.0,1.0,0.0,4.0,1.0,1.0,0.0
